filename	event_labels
--96EN9NUQM	alarm,speech
--SvivLlKLU	fixed-wing_aircraft
-0tayO6FNiU	chicken_rooster,speech
-1QUpHlvDM4	chicken_rooster,dog,speech
-3ihfHTdJSI	chicken_rooster
-3viw1EWLpo	cry,alarm
-4BWc0v8Y7U	chicken_rooster
-4w4BTgp3hk	chainsaw
-6d7SNbycJg	fixed-wing_aircraft,speech
-6il9q25u5E	helicopter
-7iUkVeOgkk	helicopter,fixed-wing_aircraft,car_alarm
-86NqIE9UV8	chicken_rooster
-8S9TKWIOSc	chainsaw
-8TFeaZyPcQ	helicopter
-8e8LB54vC8	alarm
-9LmMF6IHmY	shofar,singing
-9qHOY4PsGM	cheering,alarm,speech
-9ywcjOQsFc	fixed-wing_aircraft,speech
-A3cOSeUcLM	chicken_rooster
-A7n0rFvnRs	playing_badminton,speech,laughter
-AjV0tRzp3U	chicken_rooster
-AlrV7wxtv0	chicken_rooster,speech
-C8RKRnU2pg	fixed-wing_aircraft,car
-CfhAXuBCJQ	playing_basketball,speech,clapping
-CqXLLSwi70	chicken_rooster
-Cy4l2Me_K8	chicken_rooster
-DSLoPRcbEY	playing_badminton
-DecEWIegKU	chicken_rooster
-Glsd1Kxlvg	chicken_rooster,cheering
-HxQ9AoyRmY	chicken_rooster
-MldnTjJ-zE	horse,speech
-O4mo_Nyrmk	cry,speech
-Q9NmDB0c4s	chicken_rooster
-RYQN6bHb-E	clapping,cheering,playing_basketball
-TXg5WJ7pfM	chicken_rooster
-UovWhSY-EQ	cry,speech
-Vvs_Dq9E98	playing_badminton,speech
-W1LZRIVWw4	playing_badminton,laughter,cheering
-WZufs_QKAs	playing_basketball,cheering,clapping
-WcjGzWVqNU	playing_basketball,clapping,laughter
-XfvavqoXjM	rodents,chicken_rooster
-Y2y54AN6ZQ	chicken_rooster
-YGsTfSl3-g	speech,frisbee,car
-YiDD5ubwZs	chicken_rooster
-YjTndpvmeY	helicopter
-ZtZOcg3s7M	car_alarm
-ZtoRdOElFs	playing_badminton,cheering,clapping
-_fHZGICBjw	chicken_rooster,dog
-bZsTPn9IM4	cry,speech
-b_CaC9S5PY	playing_badminton
-d6AbRPotBQ	fixed-wing_aircraft
-dPcZHYsCa0	car,laughter
-dTmwsoqdQU	chicken_rooster
-dXuSpPlzt0	speech,clapping,singing
-dah3n72EMo	chicken_rooster
-egjyoLyd9M	rodents
-gF4H0HtNqY	chicken_rooster
-g_C2ZREHdo	playing_basketball,clapping,speech
-gk3LALyrZg	cry
-gp5kXfvW5I	chicken_rooster
-iPmJbFdpaI	playing_badminton
-ibyOdhBlOk	chicken_rooster
-jGeejphq3Q	fixed-wing_aircraft,laughter,speech
-knCgTvPqXk	playing_basketball,speech
-lW-poZdI5Q	cry,speech
-liObUHIFrs	chicken_rooster
-onU9T9isl4	chicken_rooster
-otQBJuvhqw	chicken_rooster,speech
-pLNYFSIves	chicken_rooster,dance,drum
-pTn4s4daZU	playing_volleyball,clapping,cheering
-pn-dj0g8aM	playing_basketball
-pqoeMKGNE0	playing_badminton,speech
-qZ3zp_4938	chicken_rooster
-rE8CpfEUxQ	alarm,speech
-rK4U422kSU	playing_badminton
-sF7NaTEIQo	fixed-wing_aircraft
-sRmcVJ8_jk	chicken_rooster
-t110bso9a8	chicken_rooster
-vLRPZQbsUI	alarm
-vqK0-jfy3Y	rodents
-wNNSOmqjVY	chicken_rooster,speech
-wciP1Nqpns	chicken_rooster
-xoEytE4jNU	singing
-zArbOb6Vr4	playing_basketball,clapping,speech
-zfLijU15AA	fixed-wing_aircraft,cheering,speech
-zhQeGoELeY	chicken_rooster
-znLXCRixZs	chicken_rooster,speech
02LVPW906Yc	speech
03oNeTowQKU	chicken_rooster
08-wel9Je3Y	dog
088sxZ1V4kw	fixed-wing_aircraft
08bVSqAKJiM	car_alarm
09gJX0Cc6p0	singing
0B2-cR4GEjc	car_alarm,speech,car
0BGMqQkCc5Y	fixed-wing_aircraft
0D-VZRW3YJI	speech
0D6qIjcbXCc	chicken_rooster
0DCcTz0SYYI	chicken_rooster
0DLQxoJg0UM	speech
0Ddx9z5OoK0	chicken_rooster
0DwBIhhMkHc	drum,singing,cheering,speech
0EDj8eGlEJY	speech
0EGNG0-VyZU	chicken_rooster,speech
0EepbsAtiDk	horse,speech
0Fzbtv_gwX0	cry,speech
0GzrghCSrHU	chicken_rooster
0HFMGsOJy6A	chicken_rooster,speech
0HY9u5l1UQo	fixed-wing_aircraft
0HlcDqvawyM	shofar
0IOg0E9PtLM	fixed-wing_aircraft
0Ikx9-0ufH8	chicken_rooster
0J3OzIVLnEI	chicken_rooster
0J5q7aijM1E	dog,guitar,drum
0KT0Slt2hzY	fixed-wing_aircraft,speech
0KgBKYju0Mw	chicken_rooster
0KjqpeytyKg	drum,piano,speech
0Kvw2BPKjz0	speech
0LcEgY3DouU	chicken_rooster
0M3AYnUPk4g	chainsaw
0MpeArTdYlQ	playing_ping-pong,cheering
0NT9SQCFUI0	cry,speech
0P-bPAubx3M	cry,speech
0P4pTOC_TKU	banjo,violin
0PCQ-07a0hQ	frisbee,dog
0PbmXOVIwGc	horse,speech
0Pw3OAXHNLM	fixed-wing_aircraft
0QC0lAHptR8	speech
0QZ-JK2Ch4E	chainsaw,singing,cheering,speech
0R3NwM2_A0U	chicken_rooster,clapping,speech
0RATdvr1c9Y	chicken_rooster
0Rqy0Y_BKkw	speech,piano
0Rxy5fg9fDM	chicken_rooster,speech
0T2_1Q4UIyQ	chicken_rooster
0TUL9E4puEg	cello,violin,guitar
0TiOAVwVX1Q	chicken_rooster,speech
0Ui94fBgZ_Q	playing_soccer,speech,clapping
0UmZKOh5Kzc	chicken_rooster,speech
0Ux3G_cg79s	chainsaw,speech
0VzddQUqVCQ	cheering,speech,clapping
0WiikUwnrC0	chicken_rooster,speech,clapping,cheering
0X8e6nOPkR0	frisbee,dog,speech
0ZOHI9inGBk	chicken_rooster,speech
0ZyPRbnAoG4	speech
0_V0AgsqZbw	chicken_rooster
0_kEAMIf8j8	chicken_rooster
0av1O2h5JgY	drum,singing,cheering,speech
0ba3-OhzFEU	fixed-wing_aircraft
0briuEELGRE	chicken_rooster,dog,speech
0chLdkCRxO4	chicken_rooster,speech
0dMJ7dlPzWs	chainsaw
0dQf0JfN41U	fixed-wing_aircraft
0ddWYr_zQ1E	chicken_rooster
0dk-ZmsWZ98	speech,playing_basketball
0dwu55z68CY	drum,speech
0dyJz2hnURE	speech,laughter,clapping,playing_ping-pong
0f_xvP-jxuI	speech,laughter
0fgoZlCL2II	speech
0frfI0OAhWk	chicken_rooster,speech
0fyutS3FMb4	speech
0g2Mc_WNXCM	speech,drum
0hMZVFUXwHo	chainsaw
0i0h5nK2D_U	cry,speech
0i6HMfEeOEQ	speech
0ioyVuCAAac	chicken_rooster
0jAa9bewoxg	singing,cheering,clapping
0jCTBa8cSKc	chicken_rooster
0jR20-0sy1Y	shofar,speech
0jyxudxON-0	chicken_rooster
0kkswG7eKmU	chicken_rooster,speech
0lB-Of-KGUo	cry
0lce-qCdUZs	frisbee,dog,speech
0mItVa2Cj8U	chicken_rooster
0mKRXJhlMb0	chicken_rooster,laughter
0mkj5A9qg9A	drum,speech
0mqjPEPblGI	chicken_rooster,speech
0npLQ4LzD0c	car_alarm
