filename	event_labels
--96EN9NUQM	alarm,speech
--SvivLlKLU	car,fixed-wing_aircraft
-0tayO6FNiU	chicken_rooster,speech
-1QUpHlvDM4	chicken_rooster,dog,speech
-3ihfHTdJSI	chicken_rooster
-3viw1EWLpo	alarm,cry
-4BWc0v8Y7U	chicken_rooster
-4w4BTgp3hk	chainsaw
-6d7SNbycJg	dog,fixed-wing_aircraft,speech
-6il9q25u5E	helicopter
-7iUkVeOgkk	car_alarm,helicopter,car,fixed-wing_aircraft
-86NqIE9UV8	chicken_rooster
-8S9TKWIOSc	chainsaw
-8TFeaZyPcQ	helicopter,car
-8e8LB54vC8	alarm
-9LmMF6IHmY	shofar,singing
-9qHOY4PsGM	playing_volleyball,cheering,alarm,speech
-9ywcjOQsFc	fixed-wing_aircraft,speech
-A3cOSeUcLM	chicken_rooster
-A7n0rFvnRs	laughter,playing_badminton,speech
-AjV0tRzp3U	chicken_rooster
-AlrV7wxtv0	chicken_rooster,speech
-C8RKRnU2pg	car,fixed-wing_aircraft
-CfhAXuBCJQ	clapping,playing_basketball,car,speech
-CqXLLSwi70	chicken_rooster
-Cy4l2Me_K8	chicken_rooster
-DSLoPRcbEY	playing_badminton
-DecEWIegKU	chicken_rooster
-Glsd1Kxlvg	chicken_rooster,cheering
-HxQ9AoyRmY	chicken_rooster
-MldnTjJ-zE	horse,speech
-O4mo_Nyrmk	dog,cry,speech
-Q9NmDB0c4s	chicken_rooster
-RYQN6bHb-E	clapping,playing_basketball,cheering,dance
-TXg5WJ7pfM	chicken_rooster
-UovWhSY-EQ	cry,speech
-Vvs_Dq9E98	laughter,playing_badminton,speech
-W1LZRIVWw4	laughter,playing_badminton,cheering
-WZufs_QKAs	clapping,cheering,playing_basketball
-WcjGzWVqNU	laughter,clapping,playing_basketball
-XfvavqoXjM	chicken_rooster,car_alarm,rodents
-Y2y54AN6ZQ	chicken_rooster
-YGsTfSl3-g	frisbee,clapping,car,speech
-YiDD5ubwZs	chicken_rooster
-YjTndpvmeY	helicopter,dog
-ZtZOcg3s7M	car_alarm
-ZtoRdOElFs	playing_badminton,clapping,cheering
-_fHZGICBjw	chicken_rooster,dog
-bZsTPn9IM4	cry,speech
-b_CaC9S5PY	playing_badminton
-d6AbRPotBQ	fixed-wing_aircraft
-dPcZHYsCa0	laughter,car
-dTmwsoqdQU	chicken_rooster
-dXuSpPlzt0	clapping,singing,speech
-dah3n72EMo	chicken_rooster
-egjyoLyd9M	rodents
-gF4H0HtNqY	chicken_rooster
-g_C2ZREHdo	clapping,playing_basketball,speech
-gk3LALyrZg	cry
-gp5kXfvW5I	chicken_rooster
-iPmJbFdpaI	playing_badminton
-ibyOdhBlOk	chicken_rooster
-jGeejphq3Q	laughter,cello,fixed-wing_aircraft,speech
-knCgTvPqXk	playing_basketball,speech
-lW-poZdI5Q	cry,speech
-liObUHIFrs	chicken_rooster
-onU9T9isl4	chicken_rooster,clapping
-otQBJuvhqw	chicken_rooster,speech
-pLNYFSIves	chicken_rooster,car_alarm,drum,dance
-pTn4s4daZU	playing_volleyball,clapping,cheering,dog
-pn-dj0g8aM	playing_basketball
-pqoeMKGNE0	playing_badminton,speech
-qZ3zp_4938	chicken_rooster
-rE8CpfEUxQ	alarm,speech
-rK4U422kSU	playing_badminton
-sF7NaTEIQo	fixed-wing_aircraft
-sRmcVJ8_jk	chicken_rooster
-t110bso9a8	chicken_rooster,singing
-vLRPZQbsUI	alarm
-vqK0-jfy3Y	rodents
-wNNSOmqjVY	chicken_rooster,speech
-wciP1Nqpns	chicken_rooster
-xoEytE4jNU	dog,singing,fixed-wing_aircraft
-zArbOb6Vr4	clapping,playing_basketball,speech
-zfLijU15AA	cheering,fixed-wing_aircraft,speech
-zhQeGoELeY	chicken_rooster
-znLXCRixZs	chicken_rooster,cat,laughter,speech
02LVPW906Yc	playing_ping-pong,speech
03oNeTowQKU	chicken_rooster
08-wel9Je3Y	frisbee,dog
088sxZ1V4kw	fixed-wing_aircraft
08bVSqAKJiM	car_alarm,car
