filename	event_labels
--96EN9NUQM	alarm
--SvivLlKLU	fixed-wing_aircraft,car
-0tayO6FNiU	chicken_rooster
-1QUpHlvDM4	chicken_rooster
-3ihfHTdJSI	chicken_rooster
-3viw1EWLpo	cry
-4BWc0v8Y7U	chicken_rooster
-4w4BTgp3hk	chainsaw
-6d7SNbycJg	fixed-wing_aircraft,dog
-6il9q25u5E	helicopter
-7iUkVeOgkk	helicopter,fixed-wing_aircraft,car
-86NqIE9UV8	chicken_rooster
-8S9TKWIOSc	chainsaw
-8TFeaZyPcQ	helicopter,car
-8e8LB54vC8	alarm
-9LmMF6IHmY	shofar
-9qHOY4PsGM	playing_volleyball
-9ywcjOQsFc	fixed-wing_aircraft
-A3cOSeUcLM	chicken_rooster
-A7n0rFvnRs	playing_badminton,speech,laughter
-AjV0tRzp3U	chicken_rooster
-AlrV7wxtv0	chicken_rooster
-C8RKRnU2pg	fixed-wing_aircraft,car
-CfhAXuBCJQ	playing_basketball,clapping,car
-CqXLLSwi70	chicken_rooster
-Cy4l2Me_K8	chicken_rooster
-DSLoPRcbEY	playing_badminton
-DecEWIegKU	chicken_rooster
-Glsd1Kxlvg	chicken_rooster
-HxQ9AoyRmY	chicken_rooster
-MldnTjJ-zE	horse
-O4mo_Nyrmk	dog
-Q9NmDB0c4s	chicken_rooster
-RYQN6bHb-E	clapping,dance,playing_basketball
-TXg5WJ7pfM	chicken_rooster
-UovWhSY-EQ	cry,speech
-Vvs_Dq9E98	playing_badminton,laughter
-W1LZRIVWw4	playing_badminton,laughter,cheering
-WZufs_QKAs	playing_basketball,cheering,clapping
-WcjGzWVqNU	playing_basketball,laughter
-XfvavqoXjM	rodents,car_alarm
-Y2y54AN6ZQ	chicken_rooster
-YGsTfSl3-g	speech,frisbee,car,clapping
-YiDD5ubwZs	chicken_rooster
-YjTndpvmeY	helicopter,dog
-ZtZOcg3s7M	car_alarm
-ZtoRdOElFs	playing_badminton,clapping
-_fHZGICBjw	chicken_rooster
-bZsTPn9IM4	cry
-b_CaC9S5PY	playing_badminton
-d6AbRPotBQ	fixed-wing_aircraft
-dPcZHYsCa0	car,laughter
-dTmwsoqdQU	chicken_rooster
-dXuSpPlzt0	clapping
-dah3n72EMo	chicken_rooster
-egjyoLyd9M	rodents
-gF4H0HtNqY	chicken_rooster
-g_C2ZREHdo	playing_basketball,clapping
-gk3LALyrZg	cry
-gp5kXfvW5I	chicken_rooster
-iPmJbFdpaI	playing_badminton
-ibyOdhBlOk	chicken_rooster
-jGeejphq3Q	fixed-wing_aircraft,laughter,speech,cello
-knCgTvPqXk	playing_basketball,speech
-lW-poZdI5Q	cry
-liObUHIFrs	chicken_rooster
-onU9T9isl4	chicken_rooster,clapping
-otQBJuvhqw	chicken_rooster
-pLNYFSIves	chicken_rooster,car_alarm
